frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
0,0.0,862.2874145507812,440.4549865722656,1102.2261962890625,680.7817993164062,982.2568054199219,560.6183929443359,0.6634123921394348,32.0,1920,1080,59.93529919222022,cfr
1,0.016684658514723873,833.0924072265625,439.1203308105469,1071.6416015625,680.6422729492188,952.3670043945312,559.8813018798828,0.7082100510597229,32.0,1920,1080,59.93529919222022,cfr
2,0.033369317029447745,804.9266967773438,438.1835632324219,1043.683349609375,679.07470703125,924.3050231933594,558.6291351318359,0.7830480933189392,32.0,1920,1080,59.93529919222022,cfr
3,0.05005397554417162,775.7080078125,437.2489929199219,1013.202392578125,678.2371826171875,894.4552001953125,557.7430877685547,0.7027056813240051,32.0,1920,1080,59.93529919222022,cfr
4,0.06673863405889549,746.9437866210938,436.0436096191406,983.5662231445312,676.7930297851562,865.2550048828125,556.4183197021484,0.8485029339790344,32.0,1920,1080,59.93529919222022,cfr
5,0.08342329257361937,717.1423950195312,435.7398376464844,954.5211181640625,676.9966430664062,835.8317565917969,556.3682403564453,0.6928844451904297,32.0,1920,1080,59.93529919222022,cfr
6,0.10010795108834324,690.3717651367188,435.8988037109375,925.5701904296875,676.0731201171875,807.9709777832031,555.9859619140625,0.7336832284927368,32.0,1920,1080,59.93529919222022,cfr
7,0.11679260960306712,663.0254516601562,435.590087890625,899.7548217773438,675.4002075195312,781.39013671875,555.4951477050781,0.8905504941940308,32.0,1920,1080,59.93529919222022,cfr
8,0.13347726811779098,634.9257202148438,436.7456359863281,871.6122436523438,675.9945068359375,753.2689819335938,556.3700714111328,0.8621756434440613,32.0,1920,1080,59.93529919222022,cfr
9,0.15016192663251485,608.483642578125,436.5661315917969,843.1475830078125,675.8421020507812,725.8156127929688,556.2041168212891,0.8830596208572388,32.0,1920,1080,59.93529919222022,cfr
10,0.16684658514723874,581.7484741210938,436.3210144042969,817.1361694335938,675.967041015625,699.4423217773438,556.1440277099609,0.8952234387397766,32.0,1920,1080,59.93529919222022,cfr
11,0.1835312436619626,556.5875854492188,435.40411376953125,791.7609252929688,675.26513671875,674.1742553710938,555.3346252441406,0.9024860858917236,32.0,1920,1080,59.93529919222022,cfr
12,0.20021590217668647,531.0414428710938,435.1466979980469,765.96923828125,674.7078857421875,648.5053405761719,554.9272918701172,0.748965859413147,32.0,1920,1080,59.93529919222022,cfr
13,0.21690056069141037,508.1844177246094,434.31719970703125,740.5504760742188,673.2745971679688,624.3674468994141,553.7958984375,0.8409666419029236,32.0,1920,1080,59.93529919222022,cfr
14,0.23358521920613423,482.46295166015625,433.2871398925781,718.1991577148438,671.7303466796875,600.3310546875,552.5087432861328,0.8599079251289368,32.0,1920,1080,59.93529919222022,cfr
15,0.2502698777208581,458.9852600097656,430.743896484375,694.4334106445312,668.9155883789062,576.7093353271484,549.8297424316406,0.8773581981658936,32.0,1920,1080,59.93529919222022,cfr
16,0.26695453623558196,435.00982666015625,425.9759216308594,672.107421875,664.7763671875,553.5586242675781,545.3761444091797,0.846696138381958,32.0,1920,1080,59.93529919222022,cfr
17,0.28363919475030586,414.66778564453125,424.7286071777344,650.500732421875,662.683837890625,532.5842590332031,543.7062225341797,0.8158664107322693,32.0,1920,1080,59.93529919222022,cfr
18,0.3003238532650297,392.9161376953125,420.79156494140625,631.0321655273438,659.9349975585938,511.9741516113281,540.36328125,0.657366931438446,32.0,1920,1080,59.93529919222022,cfr
19,0.3170085117797536,373.913818359375,417.97760009765625,611.6002807617188,657.0670166015625,492.7570495605469,537.5223083496094,0.813045084476471,32.0,1920,1080,59.93529919222022,cfr
20,0.3336931702944775,353.55535888671875,416.2850036621094,591.071533203125,654.4486083984375,472.3134460449219,535.3668060302734,0.8491742610931396,32.0,1920,1080,59.93529919222022,cfr
21,0.3503778288092013,335.4459533691406,414.8528137207031,572.3718872070312,652.82666015625,453.90892028808594,533.8397369384766,0.7422141432762146,32.0,1920,1080,59.93529919222022,cfr
22,0.3670624873239252,318.32666015625,413.7444763183594,556.6023559570312,650.7274169921875,437.4645080566406,532.2359466552734,0.8134833574295044,32.0,1920,1080,59.93529919222022,cfr
23,0.3837471458386491,302.3555603027344,411.86627197265625,540.485595703125,647.8158569335938,421.4205780029297,529.841064453125,0.4652650058269501,32.0,1920,1080,59.93529919222022,cfr
24,0.40043180435337294,287.0029296875,410.36260986328125,525.9906005859375,648.3517456054688,406.49676513671875,529.357177734375,0.3682003319263458,32.0,1920,1080,59.93529919222022,cfr
25,0.41711646286809684,272.24798583984375,410.4053649902344,512.6392822265625,646.661376953125,392.4436340332031,528.5333709716797,0.731372594833374,32.0,1920,1080,59.93529919222022,cfr
26,0.43380112138282073,259.6484069824219,409.0351867675781,498.7705078125,646.4905395507812,379.20945739746094,527.7628631591797,0.6552181839942932,32.0,1920,1080,59.93529919222022,cfr
27,0.45048577989754457,247.55360412597656,407.71856689453125,488.1728210449219,645.3307495117188,367.8632125854492,526.524658203125,0.7843506336212158,32.0,1920,1080,59.93529919222022,cfr
28,0.46717043841226846,236.61827087402344,407.2242736816406,476.4897155761719,644.75341796875,356.55399322509766,525.9888458251953,0.7897337079048157,32.0,1920,1080,59.93529919222022,cfr
29,0.48385509692699236,226.88296508789062,407.0730285644531,467.0938415527344,643.1748657226562,346.9884033203125,525.1239471435547,0.8847715854644775,32.0,1920,1080,59.93529919222022,cfr
30,0.5005397554417162,218.7069854736328,405.9803466796875,457.7158203125,642.6934204101562,338.2114028930664,524.3368835449219,0.8218954801559448,32.0,1920,1080,59.93529919222022,cfr
31,0.51722441395644,210.65615844726562,404.6930236816406,450.149169921875,640.9402465820312,330.4026641845703,522.8166351318359,0.693633496761322,32.0,1920,1080,59.93529919222022,cfr
