frame_idx,x_pred,y_pred,dx,dir_label
0,982.256805419922,560.6183929443359,-5.977960205078148,SOLA GIDIYOR
1,976.2788452148438,560.4709747314454,-10.394764404296893,SOLA GIDIYOR
2,965.884080810547,560.1026068115235,-14.285776123046958,SOLA GIDIYOR
3,951.5983046875,559.6307030029297,-17.268659960937384,SOLA GIDIYOR
4,934.3296447265626,558.9882263427735,-19.699577626952987,SOLA GIDIYOR
5,914.6300670996096,558.4642291455079,-21.331817863281344,SOLA GIDIYOR
6,893.2982492363283,557.968575699219,-22.3816225035157,SOLA GIDIYOR
7,870.9166267328126,557.4738901003908,-23.529528959843674,SOLA GIDIYOR
8,847.3870977729689,557.2531263625392,-24.314296996000053,SOLA GIDIYOR
9,823.0728007769688,557.0433244542892,-24.72609579992502,SOLA GIDIYOR
10,798.3467049770438,556.8634651054235,-24.83448992118997,SOLA GIDIYOR
11,773.5122150558539,556.557697133167,-25.00137489593635,SOLA GIDIYOR
12,748.5108401599175,556.2316160805572,-24.82867865210062,SOLA GIDIYOR
13,723.6821615078169,555.7444725519457,-24.67022136406331,SOLA GIDIYOR
14,699.0119401437536,555.0973266987831,-24.46052096332096,SOLA GIDIYOR
15,674.5514191804326,554.0438098453546,-24.19855898257083,SOLA GIDIYOR
16,650.3528601978618,552.3102767581197,-23.55372023293171,SOLA GIDIYOR
17,626.7991399649301,550.5894659133318,-22.964997670720322,SOLA GIDIYOR
18,603.8341422942098,548.5442289806655,-22.215418546732508,SOLA GIDIYOR
19,581.6187237474772,546.3398448544543,-21.861055540511074,SOLA GIDIYOR
20,559.7576682069662,544.1452370896181,-21.169749583776024,SOLA GIDIYOR
21,538.5879186231901,542.0841370593898,-20.224682113309882,SOLA GIDIYOR
22,518.3632365098803,540.1144989785666,-19.388531701390093,SOLA GIDIYOR
23,498.9747048084902,538.0598120734783,-18.49558793435415,SOLA GIDIYOR
24,480.479116874136,536.3192852056576,-17.60709656818659,SOLA GIDIYOR
25,462.87202030594943,534.7621023588621,-16.732512581697677,SOLA GIDIYOR
26,446.13950772425176,533.3622545189256,-15.65525902776045,SOLA GIDIYOR
27,430.4842486964913,531.9947352557656,-14.786051094278832,SOLA GIDIYOR
28,415.6981976022125,530.7935573696516,-13.741958856379881,SOLA GIDIYOR
29,401.9562387458326,529.6596353244322,-400.9256627551557,SOLA GIDIYOR
30,1.03057599067688,1.2816435098648071,-0.13185709714889549,DURAGAN
31,0.8987188935279846,1.4992595911026,-0.08964425325393677,DURAGAN
32,0.8090746402740479,1.679071068763733,-0.04932767152786255,DURAGAN
33,0.7597469687461853,1.7992607355117798,-0.08346545696258545,DURAGAN
34,0.6762815117835999,1.8346096277236936,-0.06119602918624878,DURAGAN
35,0.6150854825973511,1.7880396842956543,-0.02072930335998535,DURAGAN
36,0.5943561792373657,1.7244106531143188,0.0027794837951660156,DURAGAN
37,0.5971356630325317,1.6670957803726196,0.012607693672180176,DURAGAN
38,0.6097433567047119,1.6223561763763428,0.014776349067687988,DURAGAN
39,0.6245197057723999,1.592196702957153,0.004264414310455322,DURAGAN
40,0.6287841200828552,1.6619309186935425,-0.027940869331359863,DURAGAN
41,0.6008432507514954,1.827570080757141,-0.036548733711242676,DURAGAN
42,0.5642945170402527,1.9136184453964236,-0.030092597007751465,DURAGAN
43,0.5342019200325012,1.95613706111908,-0.020053744316101074,DURAGAN
44,0.5141481757164001,1.975307583808899,-0.011128544807434082,DURAGAN
45,0.5030196309089661,1.9818686246871948,-0.0044071972370147705,DURAGAN
46,0.4986124336719513,1.981706976890564,0.0005906820297241211,DURAGAN
47,0.4992031157016754,1.9778236150741575,0.0070788562297821045,DURAGAN
48,0.5062819719314575,1.9708071947097776,0.009037971496582031,DURAGAN
49,0.5153199434280396,1.965933084487915,0.0006057024002075195,DURAGAN
50,0.5159256458282471,1.976984977722168,-0.008788228034973145,DURAGAN
51,0.5071374177932739,2.02329158782959,0.0004385709762573242,DURAGAN
52,0.5075759887695312,2.0826971530914307,0.012269318103790283,DURAGAN
53,0.5198453068733215,2.1164472103118896,0.010128557682037354,DURAGAN
54,0.5299738645553589,2.1314938068389893,0.012483358383178711,DURAGAN
55,0.5424572229385376,2.133223056793213,0.012731492519378662,DURAGAN
56,0.5551887154579163,2.1300125122070312,-0.005444943904876709,DURAGAN
57,0.5497437715530396,2.1421384811401367,-0.009543955326080322,DURAGAN
58,0.5401998162269592,2.152395486831665,-0.0012721419334411621,DURAGAN
59,0.5389276742935181,2.1553359031677246,0.0036664605140686035,DURAGAN
60,0.5425941348075867,2.143040418624878,0.010636091232299805,DURAGAN
61,0.5532302260398865,2.1200995445251465,0.015910625457763672,DURAGAN
62,0.5691408514976501,2.0825765132904053,0.01735222339630127,DURAGAN
