frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
0,0.0,339.5252380371094,223.52073669433594,423.7730712890625,307.59814453125,381.64915466308594,265.55944061279297,0.96832275390625,0,768,432,30.0,cfr
1,0.03333333333333333,339.33563232421875,223.5645294189453,423.4683532714844,307.6261901855469,381.40199279785156,265.5953598022461,0.9711287021636963,0,768,432,30.0,cfr
2,0.06666666666666667,338.2334289550781,223.32382202148438,422.57781982421875,307.6131286621094,380.40562438964844,265.4684753417969,0.9692831635475159,0,768,432,30.0,cfr
3,0.1,337.42926025390625,223.4509735107422,420.91552734375,307.3742980957031,379.1723937988281,265.41263580322266,0.9648771286010742,0,768,432,30.0,cfr
4,0.13333333333333333,335.4961853027344,223.00042724609375,419.44366455078125,307.79022216796875,377.4699249267578,265.39532470703125,0.9652786254882812,0,768,432,30.0,cfr
5,0.16666666666666666,333.2995910644531,222.69171142578125,417.27581787109375,307.7395935058594,375.28770446777344,265.2156524658203,0.9636275172233582,0,768,432,30.0,cfr
6,0.2,330.4850769042969,223.13951110839844,414.2319641113281,307.7532653808594,372.3585205078125,265.4463882446289,0.9664859175682068,0,768,432,30.0,cfr
7,0.23333333333333334,327.7966613769531,222.83914184570312,411.7218017578125,307.4470520019531,369.7592315673828,265.1430969238281,0.9696938395500183,0,768,432,30.0,cfr
8,0.26666666666666666,324.27093505859375,223.2254180908203,408.236083984375,307.4501953125,366.2535095214844,265.33780670166016,0.9670761227607727,0,768,432,30.0,cfr
9,0.3,320.2701721191406,223.46554565429688,404.42633056640625,307.1293640136719,362.34825134277344,265.2974548339844,0.9681718945503235,0,768,432,30.0,cfr
10,0.3333333333333333,315.8653564453125,222.77215576171875,400.1287536621094,307.255859375,357.99705505371094,265.0140075683594,0.9652949571609497,0,768,432,30.0,cfr
11,0.36666666666666664,311.53125,222.4611053466797,395.0231018066406,307.12298583984375,353.2771759033203,264.7920455932617,0.9687985777854919,0,768,432,30.0,cfr
12,0.4,307.06024169921875,222.5911865234375,390.9588928222656,306.40997314453125,349.0095672607422,264.5005798339844,0.9740748405456543,0,768,432,30.0,cfr
13,0.43333333333333335,301.995849609375,222.1553497314453,385.7635498046875,305.77874755859375,343.87969970703125,263.96704864501953,0.9706293940544128,0,768,432,30.0,cfr
14,0.4666666666666667,296.457275390625,221.1142120361328,380.4805603027344,305.1783752441406,338.4689178466797,263.1462936401367,0.9661421179771423,0,768,432,30.0,cfr
15,0.5,290.6361999511719,220.4770050048828,375.0362548828125,304.9383544921875,332.8362274169922,262.70767974853516,0.9763097763061523,0,768,432,30.0,cfr
16,0.5333333333333333,285.02777099609375,219.88107299804688,369.3564758300781,303.7213439941406,327.19212341308594,261.80120849609375,0.971316933631897,0,768,432,30.0,cfr
17,0.5666666666666667,278.64727783203125,219.52072143554688,363.4264221191406,303.7009582519531,321.03684997558594,261.61083984375,0.9670407772064209,0,768,432,30.0,cfr
18,0.6,272.6760559082031,218.2859649658203,356.9646301269531,302.5146179199219,314.8203430175781,260.4002914428711,0.9755488634109497,0,768,432,30.0,cfr
19,0.6333333333333333,266.9147644042969,217.46734619140625,351.0303955078125,301.5304870605469,308.9725799560547,259.49891662597656,0.9748497009277344,0,768,432,30.0,cfr
20,0.6666666666666666,260.2861022949219,216.42791748046875,344.16998291015625,299.9000549316406,302.22804260253906,258.1639862060547,0.9686570763587952,0,768,432,30.0,cfr
21,0.7,253.77020263671875,214.90643310546875,337.9728698730469,298.894775390625,295.8715362548828,256.9006042480469,0.9743731021881104,0,768,432,30.0,cfr
22,0.7333333333333333,247.48663330078125,214.31411743164062,331.369384765625,297.9809265136719,289.4280090332031,256.14752197265625,0.9726846218109131,0,768,432,30.0,cfr
23,0.7666666666666667,240.81478881835938,212.6459503173828,324.5233459472656,296.3545837402344,282.6690673828125,254.5002670288086,0.969241201877594,0,768,432,30.0,cfr
24,0.8,234.09735107421875,211.1246337890625,317.8462829589844,294.5516662597656,275.97181701660156,252.83815002441406,0.971284031867981,0,768,432,30.0,cfr
25,0.8333333333333334,227.60189819335938,208.9966278076172,312.0169677734375,293.10198974609375,269.80943298339844,251.04930877685547,0.9673777222633362,0,768,432,30.0,cfr
26,0.8666666666666667,220.92645263671875,207.198974609375,304.8663635253906,291.21148681640625,262.8964080810547,249.20523071289062,0.9757182598114014,0,768,432,30.0,cfr
27,0.9,214.54017639160156,205.8050994873047,298.8045959472656,288.93365478515625,256.6723861694336,247.36937713623047,0.981845498085022,0,768,432,30.0,cfr
