frame,t,cx,cy,cx_smooth,cy_smooth,speed_px_s,ax_px_s2,ay_px_s2
0,0.0,982.256805419922,560.6183929443359,982.256805419922,560.6183929443359,358.3997605488498,-7933.110555424951,-396.8521976542575
1,0.0166846585147238,952.3670043945312,559.8813018798828,976.2788452148438,560.4709747314454,490.8954811831753,-11427.472626394236,-489.8336401453172
2,0.0333693170294477,924.3050231933594,558.6291351318359,965.884080810547,560.1026068115235,740.04632085559,-13634.088145671149,-537.5736426899159
3,0.0500539755441716,894.4552001953125,557.7430877685547,951.5983046875001,559.6307030029297,946.2017974561589,-11035.089496397697,-292.94909116467613
4,0.0667386340588954,865.2550048828125,556.4183197021484,934.3296447265626,558.9882263427735,1108.402551040311,-8510.878375857432,85.07306892895178
5,0.0834232925736193,835.8317565917969,556.3682403564453,914.6300670996095,558.4642291455079,1229.9940964378652,-6057.59695814531,158.17963346888428
6,0.1001079510883432,807.9709777832031,555.9859619140625,893.2982492363283,557.968575699219,1310.325203235693,-4382.313758117576,273.19103244047596
7,0.1167926096030671,781.39013671875,555.4951477050781,870.9166267328126,557.4738901003908,1376.016345541553,-3709.334174270087,502.71011121124957
8,0.1334772681177909,753.2689819335938,556.3700714111328,847.3870977729689,557.2531263625392,1433.8250702064863,-2810.246540953536,292.5772500032495
9,0.1501619266325148,725.8156127929688,556.2041168212891,823.0728007769688,557.0433244542892,1469.6716986428967,-1541.7533131092132,-49.44868909759481
10,0.1668465851472387,699.4423217773438,556.1440277099609,798.3467049770438,556.8634651054235,1485.2855654412824,-714.3816211112207,-217.499152110512
11,0.1835312436619626,674.1742553710938,555.3346252441406,773.5122150558539,556.557697133167,1493.5837641776652,-241.99828265868564,-294.20200271511345
12,0.2002159021766864,648.5053405761719,554.9272918701172,748.5108401599175,556.2316160805572,1493.4884330836355,302.61461667171534,-451.2215981366969
13,0.2169005606914103,624.3674468994141,553.7958984375,723.6821615078169,555.7444725519457,1483.7551107333368,628.0234504246328,-796.9727026730246
14,0.2335852192061342,600.3310546875,552.5087432861328,699.0119401437536,555.0973266987831,1473.2146818499152,754.208831049189,-1484.278184398093
15,0.2502698777208581,576.7093353271484,549.8297424316406,674.5514191804326,554.0438098453546,1460.5882279793582,1237.9426130167776,-1574.9110004451807
16,0.2669545362355819,553.5586242675781,545.3761444091797,650.3528601978618,552.3102767581197,1434.7628914336008,1922.1735834167048,-879.1988191547698
17,0.2836391947503058,532.5842590332031,543.7062225341797,626.7991399649301,550.5894659133318,1398.6176027539796,2309.687341420584,-714.2065942896274
18,0.3003238532650297,511.9741516113281,540.36328125,603.8341422942098,548.5442289806655,1359.926949136604,2193.2815362630718,-568.4218047777658
19,0.3170085117797536,492.7570495605469,537.5223083496094,581.6187237474772,546.3398448544543,1327.4304589883045,1930.4797862973937,-5.466254436046711
