epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,69.2913,0.86718,3.45733,0.90933,0.97038,1,0.995,0.995,0.0675,1.87711,0.7586,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,135.072,0.72177,2.86664,0.88533,0.95786,1,0.995,0.995,0.08093,1.88755,0.75362,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
3,200.41,0.50614,1.96371,0.83781,0.97936,1,0.995,0.995,0.11297,1.77166,0.75602,0.000979608,0.000326536,0.000979608,0.000326536,0.000979608,0.000326536,0.000979608,0.000326536
4,269.403,0.40087,1.68846,0.8081,0.97303,1,0.995,0.995,0.15409,1.82348,0.75789,0.00129803,0.000432676,0.00129803,0.000432676,0.00129803,0.000432676,0.00129803,0.000432676
5,332.832,0.32684,1.1728,0.81521,0.99057,1,0.995,0.995,0.20632,1.44747,0.76358,0.00160219,0.000534064,0.00160219,0.000534064,0.00160219,0.000534064,0.00160219,0.000534064
6,398.058,0.34727,1.07729,0.85764,0.98539,1,0.995,0.995,0.18352,1.12414,0.75782,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
7,461.557,0.29894,0.79894,0.83073,1,0.99587,0.995,0.995,0.12857,1.03596,0.75564,0.00216775,0.000722584,0.00216775,0.000722584,0.00216775,0.000722584,0.00216775,0.000722584
8,527.323,0.2853,0.5907,0.80204,0.99336,1,0.995,0.995,0.11206,0.68917,0.75355,0.00242915,0.000809716,0.00242915,0.000809716,0.00242915,0.000809716,0.00242915,0.000809716
9,598.717,0.25987,0.46845,0.80217,0.99046,1,0.995,0.995,0.12744,0.59012,0.7568,0.00267629,0.000892096,0.00267629,0.000892096,0.00267629,0.000892096,0.00267629,0.000892096
10,662.841,0.24963,0.41045,0.79231,0.99215,1,0.995,0.995,0.14932,0.49595,0.75604,0.00290917,0.000969724,0.00290917,0.000969724,0.00290917,0.000969724,0.00290917,0.000969724
11,728.05,0.29128,0.37992,0.83133,0.99328,1,0.995,0.995,0.15565,0.41416,0.75486,0.0031278,0.0010426,0.0031278,0.0010426,0.0031278,0.0010426,0.0031278,0.0010426
12,788.567,0.24747,0.31859,0.80616,0.99425,1,0.995,0.995,0.1859,0.3198,0.75801,0.00333217,0.00111072,0.00333217,0.00111072,0.00333217,0.00111072,0.00333217,0.00111072
13,849.06,0.23651,0.27046,0.80129,0.99447,1,0.995,0.995,0.16732,0.25634,0.75646,0.00352229,0.0011741,0.00352229,0.0011741,0.00352229,0.0011741,0.00352229,0.0011741
14,910.027,0.24383,0.25901,0.81102,0.99477,1,0.995,0.995,0.14456,0.24953,0.7562,0.00369815,0.00123272,0.00369815,0.00123272,0.00369815,0.00123272,0.00369815,0.00123272
15,972.086,0.22548,0.24486,0.79968,0.99468,1,0.995,0.995,0.12307,0.20227,0.7536,0.00385975,0.00128658,0.00385975,0.00128658,0.00385975,0.00128658,0.00385975,0.00128658
16,1033.81,0.24723,0.24597,0.80528,0.9945,1,0.995,0.995,0.17654,0.20894,0.75565,0.0040071,0.0013357,0.0040071,0.0013357,0.0040071,0.0013357,0.0040071,0.0013357
17,1093.09,0.25336,0.24419,0.79306,0.99439,1,0.995,0.995,0.15514,0.19978,0.75648,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1156.41,0.24306,0.23852,0.81373,0.99467,1,0.995,0.995,0.16579,0.2002,0.75597,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,1217.52,0.23115,0.23569,0.81623,0.99458,1,0.995,0.995,0.12828,0.18156,0.75297,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,1279.58,0.22475,0.23081,0.80425,0.9947,1,0.995,0.995,0.14955,0.14669,0.75529,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,1339.02,0.20995,0.20988,0.78442,0.99461,1,0.995,0.995,0.11155,0.13782,0.75284,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,1402.34,0.23031,0.22231,0.80079,0.99471,1,0.995,0.995,0.11393,0.12427,0.75338,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1469.55,0.19497,0.19155,0.8024,0.99472,1,0.995,0.995,0.12402,0.126,0.75348,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1541.84,0.19057,0.198,0.78538,0.99461,1,0.995,0.995,0.10435,0.12178,0.75339,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1626.58,0.17979,0.17777,0.7978,0.99457,1,0.995,0.995,0.10498,0.12771,0.75368,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,1712.03,0.18162,0.18236,0.80422,0.99476,1,0.995,0.995,0.1073,0.11646,0.75281,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,1777.2,0.18517,0.18601,0.77879,0.99468,1,0.995,0.995,0.1214,0.1076,0.75444,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,1843.04,0.18381,0.17329,0.78659,0.99466,1,0.995,0.995,0.10922,0.11397,0.7541,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,1913.57,0.17162,0.16983,0.78564,0.99465,1,0.995,0.995,0.10007,0.11551,0.75386,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,1984.31,0.16753,0.17035,0.79189,0.99467,1,0.995,0.995,0.11069,0.10077,0.75476,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,2054.62,0.16416,0.16806,0.76907,0.99461,1,0.995,0.995,0.10123,0.11284,0.75398,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,2118.1,0.16874,0.16799,0.78738,0.99457,1,0.995,0.995,0.08839,0.09618,0.75344,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2184.16,0.16954,0.16403,0.79668,0.99464,1,0.995,0.995,0.09404,0.1027,0.75324,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2257.48,0.16461,0.16818,0.79863,0.99478,1,0.995,0.995,0.09562,0.10284,0.75415,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2323.49,0.17392,0.16788,0.78358,0.99485,1,0.995,0.995,0.10364,0.10121,0.75375,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2388.87,0.15773,0.15932,0.76964,0.99482,1,0.995,0.995,0.09427,0.09533,0.75305,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2448.27,0.1531,0.15685,0.78552,0.99482,1,0.995,0.995,0.09702,0.09379,0.75317,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2509.68,0.16407,0.16022,0.78073,0.99477,1,0.995,0.995,0.08036,0.09111,0.75231,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2569.93,0.14219,0.15323,0.77375,0.9949,1,0.995,0.995,0.09644,0.09396,0.75306,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2631.02,0.16334,0.15672,0.79551,0.99488,1,0.995,0.995,0.06617,0.07977,0.75271,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2690.26,0.11447,0.1267,0.77293,0.99482,1,0.995,0.995,0.07209,0.08387,0.75275,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2751.87,0.11986,0.12309,0.78049,0.9948,1,0.995,0.995,0.07544,0.07968,0.75227,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
